연료원,지역,거래일,충전량 합계(Wh),방전량 합계(Wh)
ESS,제주도,2023-06-15,59638257,55566699
ESS,충청남도,2023-06-15,597581050,532531156
ESS,충청북도,2023-06-15,223769669,201264468
ESS,강원도,2023-06-16,414861605,359816360
ESS,경기도,2023-06-16,106101480,93527909
ESS,경상남도,2023-06-16,157787585,129699586
ESS,경상북도,2023-06-16,468719959,352406867
ESS,광주시,2023-06-16,12461400,10977400
ESS,대구시,2023-06-16,14091322,12136722
ESS,대전시,2023-06-16,281640,228720
ESS,부산시,2023-06-16,13913372,12418436
ESS,서울시,2023-06-16,545360,632680
ESS,세종시,2023-06-16,8525520,7596660
ESS,울산시,2023-06-16,2277640,1805460
ESS,인천시,2023-06-16,28510867,25687191
ESS,전라남도,2023-06-16,2480519016,2237690121
ESS,전라북도,2023-06-16,319294336,280665901
ESS,제주도,2023-06-16,30270632,27758043
ESS,충청남도,2023-06-16,588541613,527746189
ESS,충청북도,2023-06-16,228136198,202831675
ESS,강원도,2023-06-17,396366145,353694610
ESS,경기도,2023-06-17,106817533,93871471
ESS,경상남도,2023-06-17,156007879,139218677
ESS,경상북도,2023-06-17,411323006,360256390
ESS,광주시,2023-06-17,12110760,10641240
ESS,대구시,2023-06-17,14115892,12151948
ESS,대전시,2023-06-17,281680,229320
ESS,부산시,2023-06-17,13913120,12431216
ESS,서울시,2023-06-17,800120,707440
ESS,세종시,2023-06-17,8538500,7616740
ESS,울산시,2023-06-17,1649660,1409940
ESS,인천시,2023-06-17,28549594,21567274
ESS,전라남도,2023-06-17,2465952297,2224929157
ESS,전라북도,2023-06-17,316207677,279583208
ESS,제주도,2023-06-17,34596602,29048138
ESS,충청남도,2023-06-17,599085200,533777931
ESS,충청북도,2023-06-17,224161098,197846204
ESS,강원도,2023-06-18,396494299,345354819
ESS,경기도,2023-06-18,103354751,91065226
ESS,경상남도,2023-06-18,149950452,131974764
ESS,경상북도,2023-06-18,392041079,357746522
ESS,광주시,2023-06-18,12026480,10584080
ESS,대구시,2023-06-18,14114562,12143636
ESS,대전시,2023-06-18,282480,228680
ESS,부산시,2023-06-18,13997300,12480684
ESS,서울시,2023-06-18,800800,706840
ESS,세종시,2023-06-18,8535620,7617400
ESS,울산시,2023-06-18,1646140,1406280
ESS,인천시,2023-06-18,26730546,23181640
ESS,전라남도,2023-06-18,2500249496,2225383138
ESS,전라북도,2023-06-18,317590852,278880952
ESS,제주도,2023-06-18,31060831,21867477
ESS,충청남도,2023-06-18,598362347,535378328
ESS,충청북도,2023-06-18,224291321,202045079
ESS,강원도,2023-06-19,369433894,353411711
ESS,경기도,2023-06-19,104214647,85901876
ESS,경상남도,2023-06-19,167639034,139972643
ESS,경상북도,2023-06-19,421938320,361590169
ESS,광주시,2023-06-19,11970280,10506200
ESS,대구시,2023-06-19,14153066,12196630
ESS,대전시,2023-06-19,283640,228720
ESS,부산시,2023-06-19,13914304,12393100
ESS,서울시,2023-06-19,799400,705760
ESS,세종시,2023-06-19,8555800,7622980
ESS,울산시,2023-06-19,2276220,1805600
ESS,인천시,2023-06-19,27526884,23988002
ESS,전라남도,2023-06-19,2494215925,2254086458
ESS,전라북도,2023-06-19,313463989,279460476
ESS,제주도,2023-06-19,56052763,44696266
ESS,충청남도,2023-06-19,599977476,531667412
ESS,충청북도,2023-06-19,231229005,206829052
ESS,강원도,2023-06-20,237599444,205755497
ESS,경기도,2023-06-20,38715863,36808882
ESS,경상남도,2023-06-20,147962272,132875861
ESS,경상북도,2023-06-20,374874743,328160340
ESS,광주시,2023-06-20,9650560,7971360
ESS,대구시,2023-06-20,13798780,10967646
ESS,대전시,2023-06-20,144200,106160
ESS,부산시,2023-06-20,13911368,12422384
